"titre";"créateur";"contributeur";"sujet";"description";"editeur";"Date ";"Type ";"format";"identifiant";"Source 1";"Source 2";"langue";"Relation";"couverture";"droits";"url"
"Iris taitii  (Iridaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Iridaceae_Iris_taitii_CLF125330";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Iridaceae_Iris_taitii_CLF125330.jpg"
"Iris tingitana  (Iridaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Iridaceae_Iris_tingitana_CLF125331";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Iridaceae_Iris_tingitana_CLF125331.jpg"
"Iris tuberosa  (Iridaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Iridaceae_Iris_tuberosa_CLF125332";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Iridaceae_Iris_tuberosa_CLF125332.jpg"
"Iris xiphium  (Iridaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Iridaceae_Iris_xiphium_CLF125333";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Iridaceae_Iris_xiphium_CLF125333.jpg"
"Iris xyphioides  (Iridaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Iridaceae_Iris_xyphioides_CLF125334";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Iridaceae_Iris_xyphioides_CLF125334.jpg"
"Ixia dubia  (Iridaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Iridaceae_Ixia_dubia_CLF125335";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Iridaceae_Ixia_dubia_CLF125335.jpg"
"Romulea armoricana  (Iridaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Iridaceae_Romulea_armoricana_CLF125336";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Iridaceae_Romulea_armoricana_CLF125336.jpg"
"Romulea bulbocodium  (Iridaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Iridaceae_Romulea_bulbocodium_CLF125337";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Iridaceae_Romulea_bulbocodium_CLF125337.jpg"
"Romulea bulbocodium  (Iridaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Iridaceae_Romulea_bulbocodium_CLF125338";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Iridaceae_Romulea_bulbocodium_CLF125338.jpg"
"Romulea maroccana  (Iridaceae)";"Chaffin, Christiane";;;;;;"still image";"image/jpeg";"Iridaceae_Romulea_maroccana_CLF125339";"Bibliothèque Université Clermont Auvergne";"Herbiers universitaires de Clermont-Ferrand";"fre";;;"Domaine public";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Iridaceae_Romulea_maroccana_CLF125339.jpg"
