"titre";"créateur";"contributeur";"sujet";"description";"editeur";"Date ";"Type ";"format";"identifiant";"Source";"langue";"Relation";"couverture";"droits";"Nom du fichier";"url"
"Prunus spinosa (Malaceae)";"Jean-Baptiste";;;;"Herbiers universitaires de Clermont-Ferrand";1936;"still image";"image/jpeg";"Malaceae_Prunus_spinosa_CLF113215";"Bibliothèque Université Clermont auvergne";"fre";;"Préporché, Vénitiens";"Domaine public";"Malaceae_Prunus_spinosa_CLF113215.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Malaceae_Prunus_spinosa_CLF113215.jpg"
"Ribes nigrum (Grossulariaceae)";"Felzines";;;;"Herbiers universitaires de Clermont-Ferrand";1989;"still image";"image/jpeg";"Grossulariaceae_Ribes_nigrum_CLF113134";"Bibliothèque Université Clermont auvergne";"fre";;"Donzy, prairie Saint-Jean";"Domaine public";"Grossulariaceae_Ribes_nigrum_CLF113134.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Grossulariaceae_Ribes_nigrum_CLF113134.jpg"
"Ribes petraeum (Grossulariaceae)";"Le Grand";;;;"Herbiers universitaires de Clermont-Ferrand";1890;"still image";"image/jpeg";"Grossulariaceae_Ribes_petraeum_CLF113136";"Bibliothèque Université Clermont auvergne";"fre";;"Mont Pilat";"Domaine public";"Grossulariaceae_Ribes_petraeum_CLF113136.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Grossulariaceae_Ribes_petraeum_CLF113136.jpg"
"Ribes rubrum (Grossulariaceae)";"Sellier";;;;"Herbiers universitaires de Clermont-Ferrand";1891;"still image";"image/jpeg";"Grossulariaceae_Ribes_rubrum_CLF113135";"Bibliothèque Université Clermont auvergne";"fre";;"les Aix, bord du Colin";"Domaine public";"Grossulariaceae_Ribes_rubrum_CLF113135.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Grossulariaceae_Ribes_rubrum_CLF113135.jpg"
"Rosa andegavensis (Rosaceae)";"Felzines";;;;"Herbiers universitaires de Clermont-Ferrand";1992;"still image";"image/jpeg";"Rosaceae_Rosa_andegavensis_CLF113090";"Bibliothèque Université Clermont auvergne";"fre";;"Nevers, lit majeur de la Loire";"Domaine public";"Rosaceae_Rosa_andegavensis_CLF113090.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Rosa_andegavensis_CLF113090.jpg"
"Rosa arvensis (Rosaceae)";"Felzines";;;;"Herbiers universitaires de Clermont-Ferrand";1989;"still image";"image/jpeg";"Rosaceae_Rosa_arvensis_CLF113093";"Bibliothèque Université Clermont auvergne";"fre";;"Saint-Aubin-les-Forges";"Domaine public";"Rosaceae_Rosa_arvensis_CLF113093.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Rosa_arvensis_CLF113093.jpg"
"Rosa azfeliana (Rosaceae)";"Didier";;;;"Herbiers universitaires de Clermont-Ferrand";1926;"still image";"image/jpeg";"Rosaceae_Rosa_azfeliana_CLF113118";"Bibliothèque Université Clermont auvergne";"fre";;"col d' Oderen";"Domaine public";"Rosaceae_Rosa_azfeliana_CLF113118.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Rosa_azfeliana_CLF113118.jpg"
"Rosa azfeliana coriifolia (Rosaceae)";"Didier";;;;"Herbiers universitaires de Clermont-Ferrand";1935;"still image";"image/jpeg";"Rosaceae_Rosa_azfeliana_coriifolia_CLF113119";"Bibliothèque Université Clermont auvergne";"fre";;"mont Salève";"Domaine public";"Rosaceae_Rosa_azfeliana_coriifolia_CLF113119.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Rosa_azfeliana_coriifolia_CLF113119.jpg"
"Rosa biserrata (Rosaceae)";0;;;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Rosaceae_Rosa_biserrata_CLF113110";"Bibliothèque Université Clermont auvergne";"fre";;0;"Domaine public";"Rosaceae_Rosa_biserrata_CLF113110.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Rosa_biserrata_CLF113110.jpg"
"Rosa (Rosaceae)";0;;;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Rosaceae_Rosa_CLF113100";"Bibliothèque Université Clermont auvergne";"fre";;0;"Domaine public";"Rosaceae_Rosa_CLF113100.jpg";"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Rosaceae_Rosa_CLF113100.jpg"
