"titre";"créateur";"contributeur";"sujet";"description";"editeur";"Date ";"Type ";"format";"identifiant";"Source";"langue";"Relation";"couverture";"droits";"Nom du fichier";"url"
"Aizoon hispanicum  (Aizoacees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Aizoacees_Aizoon_hispanicum_CLF114626";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Aizoacees_Aizoon_hispanicum_CLF114626.jpg"
"Aizoon hispanicum  (Aizoacees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Aizoacees_Aizoon_hispanicum_CLF114625";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Aizoacees_Aizoon_hispanicum_CLF114625.jpg"
"Mesambryanthemum crystallinum  (Aizoacees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Aizoacees_Mesambryanthemum_crystallinum_CLF114627";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Aizoacees_Mesambryanthemum_crystallinum_CLF114627.jpg"
"Aptenia cordifolia  (Aizoacees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Aizoacees_Aptenia_cordifolia_CLF114628";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Aizoacees_Aptenia_cordifolia_CLF114628.jpg"
"Mesambryanthemum nodiflorum  (Aizoacees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Aizoacees_Mesambryanthemum_nodiflorum_CLF114629";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Aizoacees_Mesambryanthemum_nodiflorum_CLF114629.jpg"
"Mesambryanthemum crystallinum  (Aizoacees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Aizoacees_Mesambryanthemum_crystallinum_CLF114630";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Aizoacees_Mesambryanthemum_crystallinum_CLF114630.jpg"
"Mesambryanthemum nodiflorum  (Aizoacees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Aizoacees_Mesambryanthemum_nodiflorum_CLF114631";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Aizoacees_Mesambryanthemum_nodiflorum_CLF114631.jpg"
"Alisma gramineum  (Alismacees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Alismacees_Alisma_gramineum_CLF114632";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Alismacees_Alisma_gramineum_CLF114632.jpg"
"Alisma lanceolatum  (Alismacees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Alismacees_Alisma_lanceolatum_CLF114634";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Alismacees_Alisma_lanceolatum_CLF114634.jpg"
"Alisma lanceolatum  (Alismacees)";"Chaffin, Christiane";;;;"Herbiers universitaires de Clermont-Ferrand";;"still image";"image/jpeg";"Alismacees_Alisma_lanceolatum_CLF114635";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"https://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Alismacees_Alisma_lanceolatum_CLF114635.jpg"
