"titre";"créateur";"contributeur";"sujet";"description";"editeur";"Date ";"Type ";"format";"identifiant";"Source";"langue";"Relation";"couverture";"droits";"Nom du fichier";"url"
"Batho, Delphine (1973-,,,)";"Batho, Delphine (1973-,,,)";;;"Livre : Ecologie intégrale, le Manifeste, Editions du Rocher, 2019";"Librairie Les Volcans";43637;"text";"image/jpeg";"BUCA_Librairie_les_volcans_livre_d_or_1";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_volcans_livre_d_or_1.jpg"
"Chazal, Jean (…-…)";"Chazal, Jean (…-…)";;;"Livre : Ce rugby qui tue, Solar éditions, 2019";"Librairie Les Volcans";43645;"text";"image/jpeg";"BUCA_Librairie_les_volcans_livre_d_or_1";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_volcans_livre_d_or_1.jpg"
"Grimaldi, Nicolas (1933-…)";"Grimaldi, Nicolas (1933-…)";;;"Livre : Sortilèges de l'imaginaire, PUF, 2019";"Librairie Les Volcans";43735;"text";"image/jpeg";"BUCA_Librairie_les_volcans_livre_d_or_1";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_volcans_livre_d_or_1.jpg"
"Fergus, Jim (1950-…)";"Fergus, Jim (1950-…)";;;"Livre : Les Amazones, Cherche-midi, 2019 (traduction de Strongheart)";"Librairie Les Volcans";43750;"text";"image/jpeg";"BUCA_Librairie_les_volcans_livre_d_or_1";"Bibliothèque Université Clermont Auvergne";"eng";;;"Domaine public";;"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_volcans_livre_d_or_1.jpg"
"Balmer, Jean-François (1945-…)";"Balmer, Jean-François (1945-…)";;;"Spectacle : Le CV de Dieu. En partenariat avec le Festival du théâtre biblique et RCF";"Librairie Les Volcans";43756;"text";"image/jpeg";"BUCA_Librairie_les_volcans_livre_d_or_1";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_volcans_livre_d_or_1.jpg"
"Rufin, Jean-Christophe (1952-…)";"Rufin, Jean-Christophe (1952-…)";;;"Livre : Les trois Femmes du consul, Flammarion, 2019";"Librairie Les Volcans";43784;"text";"image/jpeg";"BUCA_Librairie_les_volcans_livre_d_or_1";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_volcans_livre_d_or_1.jpg"
"Arditi, Pierre (1944-…)";"Arditi, Pierre (1944-…)";;;"Livre : Le Goût de ma vie, Hugo doc, 2019";"Librairie Les Volcans";43788;"text";"image/jpeg";"BUCA_Librairie_les_volcans_livre_d_or_1";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_volcans_livre_d_or_1.jpg"
"Fottorino, Eric (1960-…)";"Fottorino, Eric (1960-…)";;;"Livre : Mes maillots jaunes, Stock, 2019";"Librairie Les Volcans";43792;"text";"image/jpeg";"BUCA_Librairie_les_volcans_livre_d_or_1";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_volcans_livre_d_or_1.jpg"
"Spitzer, Sébastien (1970-,,,)";"Spitzer, Sébastien (1970-,,,)";;;"Livre : Le cœur battant du monde, Albin Michel, 2019";"Librairie Les Volcans";43810;"text";"image/jpeg";"BUCA_Librairie_les_volcans_livre_d_or_1";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_volcans_livre_d_or_1.jpg"
"Duvoux, Nicolas (…-…)";"Duvoux, Nicolas (…-…)";;;"Master class avec la CPGE du Lycée Ambroise-Brugière";"Librairie Les Volcans";43852;"text";"image/jpeg";"BUCA_Librairie_les_volcans_livre_d_or_1";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_volcans_livre_d_or_1.jpg"
"Mignot, Julien (…-…)";"Mignot, Julien (…-…)";;;"Livre : 96 months, Filigrane Editions, 2018";"Librairie Les Volcans";43869;"text";"image/jpeg";"BUCA_Librairie_les_volcans_livre_d_or_1";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_volcans_livre_d_or_1.jpg"
"Trapenard, Augustin (1979-…)";"Trapenard, Augustin (1979-…)";;;"Echange avec Cécile Coulon pour le livre de cette dernière Noir Volcan, Castor Astral, 2020";"Librairie Les Volcans";43871;"text";"image/jpeg";"BUCA_Librairie_les_volcans_livre_d_or_1";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_volcans_livre_d_or_1.jpg"
"Orsenna, Erik (1947-…)";"Orsenna, Erik (1947-…)";;;"Livre : Briser en nous la mer gelée, Gallimard, 2020";"Librairie Les Volcans";43873;"text";"image/jpeg";"BUCA_Librairie_les_volcans_livre_d_or_1";"Bibliothèque Université Clermont Auvergne";"fre";;;"Domaine public";;"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_volcans_livre_d_or_1.jpg"
"Coe, Jonathan (1961-…)";"Coe, Jonathan (1961-…)";;;"Livre : Le cœur de l'Angleterre, Gallimard, 2019 (Middle England)";"Librairie Les Volcans";43875;"text";"image/jpeg";"BUCA_Librairie_les_volcans_livre_d_or_1";"Bibliothèque Université Clermont Auvergne";"eng";;;"Domaine public";;"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/BUCA_Librairie_les_volcans_livre_d_or_1.jpg"
