"titre";"créateur";"contributeur";"sujet";"description";"editeur";"Date ";"Type ";"format";"identifiant";"Source";"langue";"Relation";"couverture";"droits";"Nom du fichier";"url"
"Crataegus oxyacantha (Rosaceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";" 4 1898|1898";"still image";"image/jpeg";"Crataegus_oxyacantha_CLF094553";"Bibliothèque Université Clermont Auvergne";"fre";;"Rethel, Ardennes, France";"Domaine public";"Crataegus_oxyacantha_CLF094553.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Crataegus_oxyacantha_CLF094553.jpg"
"Reseda lutea (Resedaceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";" 6 1897|1897";"still image";"image/jpeg";"Reseda_lutea_CLF094554";"Bibliothèque Université Clermont Auvergne";"fre";;"Rethel, Ardennes, France";"Domaine public";"Reseda_lutea_CLF094554.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Reseda_lutea_CLF094554.jpg"
"Reseda luteola (Resedaceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";"  1897|1897";"still image";"image/jpeg";"Reseda_luteola_CLF094555";"Bibliothèque Université Clermont Auvergne";"fre";;"Rethel, Ardennes, France";"Domaine public";"Reseda_luteola_CLF094555.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Reseda_luteola_CLF094555.jpg"
"Elodea canadensis (Hydrocharitaceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";"19 6 1898|1898";"still image";"image/jpeg";"Elodea_canadensis_CLF094556";"Bibliothèque Université Clermont Auvergne";"fre";;"Rethel, Ardennes, France";"Domaine public";"Elodea_canadensis_CLF094556.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Elodea_canadensis_CLF094556.jpg"
"Hydrocharis morsus-ranae (Hydrocharitaceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";"7 6 1899|1899";"still image";"image/jpeg";"Hydrocharis_morsus-ranae_CLF094557";"Bibliothèque Université Clermont Auvergne";"fre";;"Rethel, Ardennes, France";"Domaine public";"Hydrocharis_morsus-ranae_CLF094557.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Hydrocharis_morsus-ranae_CLF094557.jpg"
"Teucrium scorodonia (Lamiaceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";" 8 1897|1897";"still image";"image/jpeg";"Teucrium_scorodonia_CLF094558";"Bibliothèque Université Clermont Auvergne";"fre";;"Chooz, Ardennes, France";"Domaine public";"Teucrium_scorodonia_CLF094558.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Teucrium_scorodonia_CLF094558.jpg"
"Ajuga reptans (Lamiaceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";" 6 1898|1898";"still image";"image/jpeg";"Ajuga_reptans_CLF094559";"Bibliothèque Université Clermont Auvergne";"fre";;"Rethel, Ardennes, France";"Domaine public";"Ajuga_reptans_CLF094559.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Ajuga_reptans_CLF094559.jpg"
"Ajuga chamaepitys (Lamiaceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";"1 6 1897|1897";"still image";"image/jpeg";"Ajuga_chamaepitys_CLF094560";"Bibliothèque Université Clermont Auvergne";"fre";;"Belleville-et-Châtillon-sur-Bar, Ardennes, France";"Domaine public";"Ajuga_chamaepitys_CLF094560.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Ajuga_chamaepitys_CLF094560.jpg"
"Ballota foetida (Lamiaceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";" 7 1898|1898";"still image";"image/jpeg";"Ballota_foetida_CLF094561";"Bibliothèque Université Clermont Auvergne";"fre";;"Rethel, Ardennes, France";"Domaine public";"Ballota_foetida_CLF094561.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Ballota_foetida_CLF094561.jpg"
"Glechoma hederacea (Lamiaceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";" 4 1898|1898";"still image";"image/jpeg";"Glechoma_hederacea_CLF094562";"Bibliothèque Université Clermont Auvergne";"fre";;"Rethel, Ardennes, France";"Domaine public";"Glechoma_hederacea_CLF094562.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Glechoma_hederacea_CLF094562.jpg"
"Galeopsis ladanum (Lamiaceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";"12 7 1897|1897";"still image";"image/jpeg";"Galeopsis_ladanum_CLF094563";"Bibliothèque Université Clermont Auvergne";"fre";;"Rethel, Ardennes, France";"Domaine public";"Galeopsis_ladanum_CLF094563.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Galeopsis_ladanum_CLF094563.jpg"
"Salvia pratensis (Lamiaceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";"1 7 1897|1897";"still image";"image/jpeg";"Salvia_pratensis_CLF094564";"Bibliothèque Université Clermont Auvergne";"fre";;"Acy-Romance, Ardennes, France";"Domaine public";"Salvia_pratensis_CLF094564.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Salvia_pratensis_CLF094564.jpg"
"Prunella vulgaris (Lamiaceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";"23 6 1897|1897";"still image";"image/jpeg";"Prunella_vulgaris_CLF094565";"Bibliothèque Université Clermont Auvergne";"fre";;"Rethel, Ardennes, France";"Domaine public";"Prunella_vulgaris_CLF094565.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Prunella_vulgaris_CLF094565.jpg"
"Calamintha acinos (Lamiaceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";"17 6 1899|1899";"still image";"image/jpeg";"Calamintha_acinos_CLF094566";"Bibliothèque Université Clermont Auvergne";"fre";;"Acy-Romance, Ardennes, France";"Domaine public";"Calamintha_acinos_CLF094566.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Calamintha_acinos_CLF094566.jpg"
"Thymus serpyllum (Lamiaceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";"23 6 1897|1897";"still image";"image/jpeg";"Thymus_serpyllum_CLF094567";"Bibliothèque Université Clermont Auvergne";"fre";;"Rethel, Ardennes, France";"Domaine public";"Thymus_serpyllum_CLF094567.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Thymus_serpyllum_CLF094567.jpg"
"Origanum vulgare (Lamiaceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";"12 7 1897|1897";"still image";"image/jpeg";"Origanum_vulgare_CLF094568";"Bibliothèque Université Clermont Auvergne";"fre";;"Rethel, Ardennes, France";"Domaine public";"Origanum_vulgare_CLF094568.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Origanum_vulgare_CLF094568.jpg"
"Globularia vulgaris (Globulariaceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";"21 5 1899|1899";"still image";"image/jpeg";"Globularia_vulgaris_CLF094569";"Bibliothèque Université Clermont Auvergne";"fre";;"Rancennes, Ardennes, France";"Domaine public";"Globularia_vulgaris_CLF094569.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Globularia_vulgaris_CLF094569.jpg"
"Asperula odorata (Rubiaceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";" 5 1899|1899";"still image";"image/jpeg";"Asperula_odorata_CLF094570";"Bibliothèque Université Clermont Auvergne";"fre";;"Neuvizy, Ardennes, France";"Domaine public";"Asperula_odorata_CLF094570.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Asperula_odorata_CLF094570.jpg"
"Asperula arvensis (Rubiaceae)";"Hb J. Lambert";"Lambert|Lambert";;;"Herbiers universitaires de Clermont-Ferrand";"17 6 1899|1899";"still image";"image/jpeg";"Asperula_arvensis_CLF094571";"Bibliothèque Université Clermont Auvergne";"fre";;"Acy-Romance, Ardennes, France";"Domaine public";"Asperula_arvensis_CLF094571.jpg";"http://bibliotheque-virtuelle.clermont-universite.fr/files/fichiers_bcu/Asperula_arvensis_CLF094571.jpg"
