"IDENTIFIANT";"TITRE";"EDITEUR";"DATE ";"DESCRIPTION";"CREATEUR";"LANGUE";"TYPE";"FORMAT 1";"Droits";"SOURCE";"URL"
"BCU_Bastaire_Stella_204_C92661_1110818";"L'oiseau blanc";"Editions du ""Petit Echo de la Mode""";1928;"Collection Stella ; 204";"Wailly Marie de";"fre";"text";"application/pdf";"Pas d’utilisation commerciale";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_204_C92661_1110818.pdf"
"BCU_Bastaire_Stella_205_C92662_1110824";"Le jour de son mariage";"Editions du ""Petit Echo de la Mode""";1928;"Collection Stella ; 205 ";"Williamson Alice Muriel";"fre";"text";"application/pdf";"Domaine public";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_205_C92662_1110824.pdf"
"BCU_Bastaire_Stella_206_C92663_1110835";"Quand l'amour vient";"Editions du ""Petit Echo de la Mode""";1928;"Collection Stella ; 206 ";"Dourliac H.-A.";"fre";"text";"application/pdf";"Domaine public";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_206_C92663_1110835.pdf"
"BCU_Bastaire_Stella_207_C92664_1110837";"Chloé";"Editions du ""Petit Echo de la Mode""";1928;"Collection Stella ; 207 ";"Hungerford Margaret Wolfe";"fre";"text";"application/pdf";"Domaine public";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_207_C92664_1110837.pdf"
"BCU_Bastaire_Stella_208_C92665_1110840";"Les inépousées";"Editions du ""Petit Echo de la Mode""";1928;"Collection Stella ; 208 ";"Duhamelet Geneviève";"fre";"text";"application/pdf";"Pas d’utilisation commerciale";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_208_C92665_1110840.pdf"
"BCU_Bastaire_Stella_210_C92666_1110843";"En lutte";"Editions du ""Petit Echo de la Mode""";1928;"Collection Stella ; 210 ";"Bouvet Marie-Louise";"fre";"text";"application/pdf";"Pas d’utilisation commerciale";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_210_C92666_1110843.pdf"
"BCU_Bastaire_Stella_215_C92667_1110845";"L'audacieuse décision";"Editions du ""Petit Echo de la Mode""";1929;"Collection Stella ; 215 ";"Fiel Marthe";"fre";"text";"application/pdf";"Pas d’utilisation commerciale";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_215_C92667_1110845.pdf"
"BCU_Bastaire_Stella_217_C92668_1110848";"Comme jadis...";"Editions du ""Petit Echo de la Mode""";1929;"Collection Stella ; 217 ";"Michelet Magali";"fre";"text";"application/pdf";"Pas d’utilisation commerciale";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_217_C92668_1110848.pdf"
"BCU_Bastaire_Stella_218_C92669_1110851";"La fille du contrebandier";"Editions du ""Petit Echo de la Mode""";1929;"Collection Stella ; 218 ";"Vidouze Jean de";"fre";"text";"application/pdf";"Pas d’utilisation commerciale";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_218_C92669_1110851.pdf"
"BCU_Bastaire_Stella_219_C92670_1110852";"Ceux qui vivent";"Editions du ""Petit Echo de la Mode""";1929;"Collection Stella ; 219 ";"Renaudy Claude";"fre";"text";"application/pdf";"Domaine public";"Bibliothèque Université Clermont Auvergne";"http://192.168.120.240/ged/files/fichiers_bcu/BCU_Bastaire_Stella_219_C92671_1110852.pdf"
