"titre";"créateur";"contributeur";"sujet";"description";"editeur";"Date ";"Type ";"format";"preparation identifiant";"identifiant";"Source";"langue";"Relation";"couverture";"droits";"Préparation url "
"biguonia capreolata  ()";"Migout";0;;;"Herbiers universitaires de Clermont-Ferrand";"mai 1862";"still image";"image/jpeg";"_biguonia_capreolata_MAB02096";"_biguonia_capreolata_MAB02096";"Bibliothèque Université Clermont Auvergne";"fre";;"rosarium de Nohant";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/_biguonia_capreolata_MAB02096.jpg"
"salvia pratensis  ()";"Migout";0;;;"Herbiers universitaires de Clermont-Ferrand";"mai 1862";"still image";"image/jpeg";"_salvia_pratensis_MAB02097";"_salvia_pratensis_MAB02097";"Bibliothèque Université Clermont Auvergne";"fre";;"Luzernière, montée d'Ars";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/_salvia_pratensis_MAB02097.jpg"
"melittis melissophyllum  (Salviées)";"Migout";0;;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Salviées_melittis_melissophyllum_MAB02098";"Salviees_melittis_melissophyllum_MAB02098";"Bibliothèque Université Clermont Auvergne";"fre";;"Provence";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Salviees_melittis_melissophyllum_MAB02098.jpg"
"betonica officinalis  ()";"Migout";0;;;"Herbiers universitaires de Clermont-Ferrand";1860;"still image";"image/jpeg";"_betonica_officinalis_MAB02099";"_betonica_officinalis_MAB02099";"Bibliothèque Université Clermont Auvergne";"fre";;"tourbière de la Bertherroux, probablement Indre";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/_betonica_officinalis_MAB02099.jpg"
"micropus erectus  ()";"Migout";0;;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"_micropus_erectus_MAB02100";"_micropus_erectus_MAB02100";"Bibliothèque Université Clermont Auvergne";"fre";;"Puy de Pradelle, Puy-de-Dôme";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/_micropus_erectus_MAB02100.jpg"
"aristolochia rotunda  ()";"Migout";"Feningre";;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"_aristolochia_rotunda_MAB02101";"_aristolochia_rotunda_MAB02101";"Bibliothèque Université Clermont Auvergne";"fre";;"Nîmes";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/_aristolochia_rotunda_MAB02101.jpg"
"aristolochia sipho  ()";"Migout";0;;;"Herbiers universitaires de Clermont-Ferrand";"mai 1862";"still image";"image/jpeg";"_aristolochia_sipho_MAB02102";"_aristolochia_sipho_MAB02102";"Bibliothèque Université Clermont Auvergne";"fre";;"Nohant, Indre";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/_aristolochia_sipho_MAB02102.jpg"
"aristolochia virens  ()";"Migout";"Feningre";;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"_aristolochia_virens_MAB02103";"_aristolochia_virens_MAB02103";"Bibliothèque Université Clermont Auvergne";"fre";;"Crète";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/_aristolochia_virens_MAB02103.jpg"
"euphorbia cyparissias  (Euphorbiacées)";"Migout";0;;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Euphorbiacées_euphorbia_cyparissias_MAB02104";"Euphorbiacees_euphorbia_cyparissias_MAB02104";"Bibliothèque Université Clermont Auvergne";"fre";;"Midi";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Euphorbiacees_euphorbia_cyparissias_MAB02104.jpg"
"potamogeton distachyum  ()";"Migout";"Feningre";;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"_potamogeton_distachyum_MAB02105";"_potamogeton_distachyum_MAB02105";"Bibliothèque Université Clermont Auvergne";"fre";;"du Cap, naturalisé dans l'Héraut";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/_potamogeton_distachyum_MAB02105.jpg"
"triglochin palustre  ()";"Migout";0;;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"_triglochin_palustre_MAB02106";"_triglochin_palustre_MAB02106";"Bibliothèque Université Clermont Auvergne";"fre";;"Valais ?";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/_triglochin_palustre_MAB02106.jpg"
"aphyllanthes montpeliensis  (Joncées)";"Migout";0;;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Joncées_aphyllanthes_montpeliensis_MAB02107";"Joncees_aphyllanthes_montpeliensis_MAB02107";"Bibliothèque Université Clermont Auvergne";"fre";;"Toulon, Midi";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Joncees_aphyllanthes_montpeliensis_MAB02107.jpg"
"isolepis pygmea  (Joncées)";"Migout";0;;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Joncées_isolepis_pygmea_MAB02108";"Joncees_isolepis_pygmea_MAB02108";"Bibliothèque Université Clermont Auvergne";"fre";;"Midi";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Joncees_isolepis_pygmea_MAB02108.jpg"
"scilla peruviana  ()";"Migout";0;;;"Herbiers universitaires de Clermont-Ferrand";"mai 1862";"still image";"image/jpeg";"_scilla_peruviana_MAB02109";"_scilla_peruviana_MAB02109";"Bibliothèque Université Clermont Auvergne";"fre";;"grande allée les Pommes, Nohant";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/_scilla_peruviana_MAB02109.jpg"
"convallaria maïalis  ()";"Migout";0;;;"Herbiers universitaires de Clermont-Ferrand";"mai 1862";"still image";"image/jpeg";"_convallaria_maïalis_MAB02110";"_convallaria_maïalis_MAB02110";"Bibliothèque Université Clermont Auvergne";"fre";;"Nohant";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/_convallaria_maïalis_MAB02110.jpg"
"neottia/listera/epipactis ovata  (Orchidées)";"Migout";0;;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Orchidées_neottia/listera/epipactis_ovata_MAB02111";"Orchidees_neottia/listera/epipactis_ovata_MAB02111";"Bibliothèque Université Clermont Auvergne";"fre";;"Midi";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Orchidees_neottia/listera/epipactis_ovata_MAB02111.jpg"
"orchis picta  (Orchidées)";"Migout";0;;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"Orchidées_orchis_picta_MAB02112";"Orchidees_orchis_picta_MAB02112";"Bibliothèque Université Clermont Auvergne";"fre";;"Midi";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/Orchidees_orchis_picta_MAB02112.jpg"
"potamogeton densum  ()";"Migout";0;;;"Herbiers universitaires de Clermont-Ferrand";"mai 1862";"still image";"image/jpeg";"_potamogeton_densum_MAB02113";"_potamogeton_densum_MAB02113";"Bibliothèque Université Clermont Auvergne";"fre";;"fontaine en allant au bain, Nohant";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/_potamogeton_densum_MAB02113.jpg"
"rhineospora alba  ()";"Migout";"Feningre";;;"Herbiers universitaires de Clermont-Ferrand";0;"still image";"image/jpeg";"_rhineospora_alba_MAB02114";"_rhineospora_alba_MAB02114";"Bibliothèque Université Clermont Auvergne";"fre";;"Midi";"Domaine public";"http://bibliotheque-virtuelle.bu.uca.fr/files/fichiers_bcu/_rhineospora_alba_MAB02114.jpg"
